patient	well_fov	compartment	channel	feature	processor_type	input_subparent_name	mask_subparent_name	output_features_subparent_name
NF0037_T1-Z-0.1	F4-2	Nuclei	DNA	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	Mito	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	AGP.ER	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	AGP	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cell	DNA.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cell	Mito	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	AGP.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	ER	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cell	AGP	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cell	ER	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	DNA.AGP	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	AGP	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	DNA	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	DNA.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	AGP	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	Mito	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	DNA.AGP	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	ER.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	ER	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	Mito	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	AGP.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	AGP	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	ER	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cell	DNA	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cell	AGP.ER	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cell	DNA	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	DNA	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	Mito	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cell	ER	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	Mito	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	ER	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	DNA	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	AGP.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	AGP.ER	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cell	ER.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	Mito	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	DNA	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cell	DNA	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cell	DNA.ER	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	DNA	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	ER	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	ER	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	DNA	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	DNA.ER	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	DNA	Neighbors	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cell	AGP.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	Mito	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	Mito	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	ER	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	DNA	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	DNA	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	ER.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	Mito	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	Mito	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	ER	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	DNA	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	DNA.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	DNA	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	AGP	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cell	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	DNA.ER	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	ER	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	AGP	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cell	Mito	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	ER.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	AGP	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	ER	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cell	ER	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	ER	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	AGP	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	DNA.AGP	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cytoplasm	AGP.ER	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cell	Mito	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cell	AGP	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Cell	AGP	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-2	Nuclei	AGP	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	Mito	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	DNA	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	ER	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	AGP	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	AGP	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	AGP	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	DNA	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	DNA.AGP	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	ER	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	DNA.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	Mito	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	Mito	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	DNA.ER	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	AGP	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	DNA	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	Mito	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	AGP.ER	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	AGP	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	DNA.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	Mito	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	AGP.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	ER	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	AGP	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	ER	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	DNA.AGP	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	AGP	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	DNA	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	DNA.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	AGP	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	Mito	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	DNA.AGP	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	ER.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	ER	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	Mito	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	AGP.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	AGP	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	ER	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	DNA	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	AGP.ER	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	DNA	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	DNA	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	Mito	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	ER	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	Mito	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	ER	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	DNA	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	AGP.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	AGP.ER	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	ER.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	Mito	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	DNA	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	DNA	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	DNA.ER	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	DNA	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	ER	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	ER	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	DNA	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	DNA.ER	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	DNA	Neighbors	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	AGP.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	Mito	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	Mito	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	ER	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	DNA	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	DNA	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	ER.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	Mito	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	Mito	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	ER	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	DNA	Texture	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	DNA.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	DNA	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	AGP	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	DNA.ER	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	ER	SAMMed3D	GPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	AGP	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	Mito	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	ER.Mito	Colocalization	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	AGP	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	ER	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cell	ER	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Nuclei	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Organoid	ER	Intensity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
NF0037_T1-Z-0.1	F4-3	Cytoplasm	AGP	Granularity	CPU	zstack_images	segmentation_masks_from_0_1um	extracted_features_from_0_1um_masks
